placeNumber,placeName,shortDetail,longDetail,websiteLink,googleMapLink,location,address,characteristics,openningHours,price
21,清水寺,清水寺は、京都を代表する寺院で、壮大な舞台からの眺望や紅葉の美しさで有名な観光名所です。,清水寺は、京都市東山区に位置する日本を代表する仏教寺院で、778年に開創され、長い歴史を誇ります。本堂の舞台「清水の舞台」は有名で、断崖にせり出した構造から京都市内を一望でき、特に春の桜や秋の紅葉の時期には美しい景色が楽しめます。この舞台は釘を使わずに組み上げられた独特の建築技術で支えられています。また、恋愛成就のご利益があるとされる「音羽の滝」や、縁結びで知られる「地主神社」も境内にあり、多くの参拝者が訪れます。清水寺は世界遺産にも登録され、日本国内外から訪れる観光客に人気です。,https://www.kiyomizudera.or.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d209615.91666825805!2d135.48342010835665!3d34.824839084695874!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600108d385dcfb07%3A0x62af658650c434ba!2z5riF5rC05a-6!5e0!3m2!1sja!2sjp!4v1730860941517!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒605-0862 京都府京都市東山区清水１丁目２９４,お寺,拝観時間： 6：00開門～18：00閉門（7.8月は18：30閉門）,TRUE
22,住𠮷大社,住𠮷大社は、大阪にある歴史ある神社で、商売繁盛や厄除けのご利益で有名な「えべっさん」の総本社です。,住𠮷大社（すみよしたいしゃ）は、大阪市住吉区に位置する全国の住吉神社の総本社で、1800年以上の歴史を誇ります。海上安全、豊漁、商売繁盛、厄除けなどのご利益があるとされ、特に「えべっさん」として知られる商売繁盛の神様を祀る神社として有名です。境内には、反橋（太鼓橋）や国宝指定の住吉造の本殿など、見どころが豊富です。毎年1月に行われる「十日戎」では、多くの参拝者が福を求めて訪れ、にぎやかな縁起物市も開かれます。大阪の人々に親しまれる歴史ある神社です。,https://www.sumiyoshitaisha.net/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d26269.395248806595!2d135.4814606!3d34.6123939!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e7bbc67c0001%3A0xa7f51dfe4d001f82!2z5L2P8KCut-Wkp-ekvg!5e0!3m2!1sja!2sjp!4v1730442019210!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,お寺,開門・閉門時間について · ・午前6時00分（4月～9月） · ・午前6時30分（10月～3月）※毎月一日と初辰日は午前6時00分開門.,FALSE
23,長居公園,長居公園は、大阪市にある広大な都市公園で、スポーツ施設や植物園、季節の花々が楽しめる憩いの場です。,長居公園は、大阪市住吉区にある広大な都市公園で、スポーツや自然観察が楽しめる多機能な公園です。園内には、陸上競技場やサッカースタジアムをはじめとするスポーツ施設が充実しており、大阪市のスポーツの拠点としても知られています。また、「大阪市立長居植物園」では、四季折々の花々や樹木が美しく、特に春の桜や秋の紅葉が人気です。さらに、自然史博物館も併設され、恐竜の化石や地質に関する展示が楽しめるため、子ども連れにも人気のスポットです。都市の中で自然と触れ合える憩いの場所です。,https://nagaipark.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d26269.549801291978!2d135.49420266048477!3d34.611905480262166!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000dc31d705eed5%3A0xe8dccc15e79f1d82!2z6ZW35bGF5YWs5ZyS!5e0!3m2!1sja!2sjp!4v1730442143779!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒546-0034 大阪府大阪市東住吉区長居公園１−１,公園,年中無休,FALSE
24,道頓堀,道頓堀は、大阪の繁華街で、美味しいグルメや賑やかなネオン看板が並ぶ観光名所として有名です。,道頓堀は、大阪市中央区に位置する賑やかな繁華街で、観光客や地元の人々で常に賑わう大阪を代表するスポットです。道頓堀川沿いには、多くの飲食店やエンターテイメント施設が並び、たこ焼きやお好み焼き、串カツといった大阪名物のグルメが堪能できます。また、グリコのネオンサインや巨大なカニ看板など、個性的な看板が連なり、訪れる人々の写真スポットにもなっています。夜にはネオンが輝き、独特の活気あふれる雰囲気が魅力です。大阪文化を体感できる観光名所として国内外から人気を集めています。,http://www.dotonbori.or.jp/ja/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d417495.6687336836!2d135.84251212581302!3d35.16447812252718!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e713818af9fd%3A0xb8bb1326b48ba590!2z6YGT6aCT5aCA!5e0!3m2!1sja!2sjp!4v1730442488297!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒542-0071 大阪府大阪市中央区道頓堀１丁目,買い物,年中無休,FALSE
25,箕面公園,箕面公園は、大阪府箕面市にある自然豊かな公園で、箕面滝や紅葉の名所として知られるハイキングスポットです。,箕面公園は、大阪府箕面市に位置する自然豊かな公園で、四季折々の美しい風景が楽しめる人気のハイキングスポットです。公園内には、高さ33メートルの「箕面滝」があり、特に秋の紅葉シーズンには滝と紅葉が織りなす美しい景観が訪れる人々を魅了します。園内には遊歩道が整備されており、初心者でも歩きやすく、ゆったりと自然を楽しめます。また、箕面の名物である「もみじの天ぷら」も人気で、多くの観光客が訪れます。都会の喧騒を忘れ、リフレッシュできる癒しの場所です。,https://www.mino-park.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60934.711838272684!2d135.49782562865457!3d34.825099892883074!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000f98dcd18275b%3A0x11b23b2040fdbcea!2z566V6Z2i5YWs5ZyS!5e0!3m2!1sja!2sjp!4v1730442816981!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒562-0002 大阪府箕面市箕面公園１−１８,自然,年中無休,FALSE
26,服部緑地,服部緑地は、大阪府豊中市にある広大な公園で、自然豊かな環境とバーベキュー施設などが楽しめる憩いの場です。,服部緑地は、大阪府豊中市に位置する広大な都市公園で、豊かな自然環境と充実したレジャー施設が特徴です。園内には広い芝生エリアがあり、ピクニックやスポーツを楽しむ家族連れやグループで賑わいます。また、バーベキュー施設があり、手ぶらでバーベキューが楽しめるため、人気のアウトドアスポットとなっています。さらに、四季折々の花が咲く「日本庭園」や、池の周りを散策できる「自然観察林」など、リラックスできるエリアも多彩です。都会の近くで自然に触れ、リフレッシュできる憩いの場所として親しまれています。,https://hattori-ryokuchi.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d35906.374114042024!2d135.4887778659925!3d34.77569620005814!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e5285d34d759%3A0xbe22903495910b60!2z5pyN6YOo57eR5Zyw!5e0!3m2!1sja!2sjp!4v1730442889183!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒561-0873 大阪府豊中市服部緑地１丁目１,公園,null,FALSE
27,姫路城,姫路城は、日本を代表する名城で「白鷺城」とも称される美しい外観と、歴史的価値で世界遺産に登録されています。,姫路城は、兵庫県姫路市に位置する日本を代表する名城で、国宝や世界遺産に登録されています。「白鷺城」とも呼ばれる白く美しい外観が特徴で、その優雅な姿から「日本一美しい城」と称されることも多いです。築城は14世紀に遡り、江戸時代に完成された現存天守は、戦火や自然災害を免れて今日まで残っています。複雑に設計された城内構造は防御力が高く、戦国時代の要塞としても機能しました。特に春の桜や秋の紅葉との調和が美しく、四季折々の風景が楽しめる観光スポットとして人気です。,https://www.city.himeji.lg.jp/castle/index.html,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3274.6674321987807!2d134.68902842559334!3d34.83945330560123!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3554e003a23324b3%3A0x7a4f8c2f6eba81b1!2z5aer6Lev5Z-O!5e0!3m2!1sja!2sjp!4v1730444801262!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",姫路市,〒670-0012 兵庫県姫路市本町６８,建築,null,FALSE
28,北野異人館街,北野異人館街は、神戸にある異国情緒あふれるエリアで、明治期の洋館が立ち並ぶ観光スポットです。,北野異人館街は、神戸市中央区に位置する異国情緒あふれる観光エリアで、明治から大正時代にかけて建てられた洋館が立ち並ぶことで知られています。かつて外国人居留地として栄えたこのエリアには、当時の欧米建築を取り入れた異人館が多数残され、神戸の異文化交流の歴史を感じられます。特に有名な「風見鶏の館」や「うろこの家」などの洋館は一般公開され、インテリアや装飾が見どころです。坂道の街並みや異人館の独特な雰囲気が観光客に人気で、写真スポットとしても注目されています。,http://www.kobeijinkan.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3623.306663681844!2d135.19010009320328!3d34.699854386347106!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008ee08a15a74f%3A0xcd6e2f1939ff057a!2z5YyX6YeO55Ww5Lq66aSo6KGX!5e0!3m2!1sja!2sjp!4v1730443168240!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0002 兵庫県神戸市中央区北野町,建築,null,FALSE
29,ニデック京都タワー,ニデック京都タワーは、京都駅前にそびえる展望タワーで、京都市街や山々の絶景が楽しめる人気の観光スポットです。,ニデック京都タワーは、京都駅前にそびえ立つシンボル的な展望タワーで、地上131メートルの高さから京都市内を一望できる観光スポットです。タワーの展望台からは、京都市街の歴史的な建造物や遠くに広がる山々が一望でき、晴れた日には遠くの比叡山や大阪方面まで見渡せることもあります。また、夜景も美しく、京都の夜を彩る絶好の観賞スポットとして人気です。館内にはレストランやショップ、ホテルも併設されており、観光やショッピング、食事が楽しめる複合施設として多くの観光客に親しまれています。,https://www.keihanhotels-resorts.co.jp/kyoto-tower/?utm_source=googlemb&utm_medium=KT,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3268.76494045238!2d135.7567595621039!3d34.987552117652946!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600108afa856da77%3A0xec2916eeff97bfd4!2z44OL44OH44OD44Kv5Lqs6YO944K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1730443315717!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒600-8216 京都府京都市下京区烏丸通七条下る東塩小路町７２１−１,建築,null,FALSE
30,東本願寺,東本願寺は、京都にある浄土真宗本願寺派の本山で、荘厳な建築と広大な境内が特徴の歴史ある寺院です。,東本願寺は、京都市下京区に位置する浄土真宗本願寺派の本山で、正式には「真宗本廟」と呼ばれる歴史ある寺院です。1602年に徳川家康の支援により建立され、浄土真宗の信仰の中心として多くの参拝者に親しまれています。境内には、広大な御影堂や阿弥陀堂などの重要文化財があり、木造建築としては日本最大級の規模を誇ります。また、豪華な装飾や細部にわたる職人技が施された建築美が見どころで、京都を代表する名所の一つです。法要や観光に訪れる人が多く、静かに祈りと歴史を感じることができる場所です。,http://www.higashihonganji.or.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3268.667062711357!2d135.7565399535879!3d34.99000334535839!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600108a5b2ff6191%3A0x2def9c35f2f6c95a!2z5p2x5pys6aGY5a-6!5e0!3m2!1sja!2sjp!4v1730443583505!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒600-8505 京都府京都市下京区烏丸通七条上る,お寺,null,FALSE
31,梅小路公園,梅小路公園は、京都にある広大な公園で、緑豊かな自然や水族館、鉄道博物館が楽しめる人気スポットです。,梅小路公園は、京都市下京区に位置する広大な都市公園で、地元の人々や観光客に親しまれています。園内には広い芝生広場や日本庭園「朱雀の庭」があり、四季折々の自然を楽しみながらのんびりと過ごすことができます。また、園内には「京都水族館」や「京都鉄道博物館」も隣接しており、ファミリー層にも人気のスポットです。季節ごとにさまざまなイベントも開催され、特に春の桜や秋の紅葉の季節には美しい景観が広がります。ピクニックや散策に最適で、都会の中で自然と触れ合える憩いの場です。,http://www.kyoto-ga.jp/umekouji/index.html,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5550.516189704301!2d135.74479891960502!3d34.988267914134624!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001061bce8ed99b%3A0x32ad976c113178b6!2z5qKF5bCP6Lev5YWs5ZyS!5e0!3m2!1sja!2sjp!4v1730443658254!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒600-8836 京都府京都市下京区観喜寺町５６−３,公園,null,FALSE
32,金閣寺（鹿苑寺）,金閣寺は、京都にある美しい金箔の楼閣で、正式名は鹿苑寺。庭園とともに四季折々の景観が楽しめる名所です。,金閣寺（鹿苑寺）は、京都市北区にある臨済宗相国寺派の寺院で、その美しい金箔張りの楼閣が特徴です。正式には「鹿苑寺」といい、14世紀末に足利義満の別荘として建てられ、彼の死後に寺院として改められました。楼閣は三層構造で、各階ごとに異なる建築様式が用いられ、華やかな金箔が陽光を受けて輝き、水面に映る姿も見事です。庭園は日本の伝統的な池泉回遊式庭園で、春の桜、夏の新緑、秋の紅葉、冬の雪景色と、四季折々に異なる美しい景観が楽しめます。国内外から多くの観光客が訪れる京都を代表する名所です。,https://www.shokoku-ji.jp/kinkakuji/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d46132.897692186816!2d135.69700976938014!3d35.01399635055319!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001a820c0eb46bd%3A0xee4272b1c22645f!2z6YeR6Zaj5a-6!5e0!3m2!1sja!2sjp!4v1730443753628!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒603-8361 京都府京都市北区金閣寺町１,お寺,null,FALSE
33,銀閣寺（東山慈照寺）,銀閣寺（慈照寺）は、京都東山にある禅寺で、簡素で美しい銀閣と枯山水庭園が特徴の静かな名所です。,銀閣寺（正式名：東山慈照寺）は、京都市左京区に位置する禅宗寺院で、室町幕府8代将軍・足利義政によって1482年に建立されました。金閣寺を模して建てられましたが、銀箔は施されず、簡素で落ち着いた「わび・さび」の美学が反映された建築となっています。二層構造の「銀閣」は東求堂とともに国宝に指定され、枯山水庭園「銀沙灘」や「向月台」も見どころです。庭園は池泉回遊式で、四季折々の美しい景観を楽しむことができます。静かで上品な雰囲気が漂い、国内外から訪れる多くの観光客を魅了しています。,https://www.shokoku-ji.jp/ginkakuji/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2738.596828075926!2d135.79236880020252!3d35.02605979657778!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600109050b426fe1%3A0x258aca1ce888abc9!2z5p2x5bGx5oWI54Wn5a-6!5e0!3m2!1sja!2sjp!4v1730444426564!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒606-8402 京都府京都市左京区銀閣寺町２,お寺,null,FALSE
34,京都御苑,京都御苑は、京都市中心部に広がる広大な公園で、歴史的建造物や自然豊かな景観が楽しめる市民の憩いの場です。,京都御苑は、京都市中心部に位置する広大な敷地を誇る公園で、かつて天皇が住まわれた京都御所を囲む緑豊かなエリアです。苑内には、四季折々の花や樹木が楽しめる自然が広がり、春の桜や秋の紅葉の名所としても知られています。また、九条家や拾翠亭などの歴史的建造物も点在し、古都京都の歴史と文化を感じられる場所です。自由に散策できるため、地元の人々や観光客の憩いの場として親しまれています。静かな環境で、ジョギングや散歩、ピクニックを楽しむ人も多く訪れるスポットです。,https://kyotogyoen.go.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13409.733025431051!2d135.76256233289868!3d35.0201127094518!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001087b148e5f1d%3A0x1f8b7a1904610955!2z5Lqs6YO95b6h6IuR!5e0!3m2!1sja!2sjp!4v1730444559710!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒602-0881 京都府京都市上京区京都御苑３,建築,null,FALSE
35,南禅寺,南禅寺は、京都にある禅宗寺院で、広大な境内と壮大な三門、水路閣が見どころの名所です。,南禅寺は、京都市左京区に位置する臨済宗の大本山で、1291年に創建された禅寺です。広大な境内には、重要文化財に指定された三門（大門）や、禅宗寺院特有の静謐な雰囲気が漂っています。三門は、日本三大門の一つに数えられ、上層からは京都市街を一望できる絶景が広がります。境内内には「水路閣」と呼ばれるレンガ造りの水道橋があり、異国情緒ある風景が特徴で、訪れる人々に親しまれています。また、禅庭「虎の子渡しの庭」など、禅の精神が感じられる美しい庭園もあり、四季折々の自然が楽しめます。秋には紅葉の名所としても知られ、多くの観光客が訪れます。禅の修行を体感できる場所として、静かな時間を過ごすことができる京都の代表的な名刹です。,https://nanzenji.or.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d11241.92421852032!2d135.78617609998446!3d35.006613608315945!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600109217397fbfd%3A0x38b339a4c7e7004d!2z5Y2X56aF5a-6!5e0!3m2!1sja!2sjp!4v1730444607406!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒606-8435 京都府京都市左京区南禅寺福地町８６,お寺,null,FALSE
36,蹴上インクライン,蹴上インクラインは、京都の疎水沿いにある旧鉄道跡で、桜の名所として知られ、歴史的な雰囲気が魅力です。,蹴上インクラインは、京都市東山区にあるかつての船を運ぶための傾斜鉄道跡で、琵琶湖疎水の一部として1891年に完成しました。全長約582メートルのインクラインは、かつて琵琶湖から京都への物流を担っていましたが、現在は廃線となり、その軌道跡が残されています。特に春には線路沿いに約90本の桜が咲き誇り、桜のトンネルのような美しい景観が広がることで人気の観光スポットとなっています。歴史的な遺構と自然が融合した風景が楽しめる場所として、散策や写真撮影に訪れる人々で賑わいます。,http://www.city.kyoto.lg.jp/suido/page/0000007477.html,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3267.8469022066033!2d135.78623767667517!3d35.010537372811356!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60010927468cc60b%3A0x36ffd94519c2ec12!2z6Lm05LiK44Kk44Oz44Kv44Op44Kk44Oz!5e0!3m2!1sja!2sjp!4v1730868478710!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒606-8435 京都府京都市東山区東小物座町３３９,建築;自然,null,FALSE
37,姫路市立美術館,姫路市立美術館は、姫路城近くにある美術館で、赤レンガの建物と国内外の近代美術作品が魅力です。,姫路市立美術館は、姫路城のすぐ近くに位置し、赤レンガ造りの美しい建物が特徴の美術館です。1930年代に建てられた旧陸軍の兵器庫を改装して1983年に開館し、国内外の近現代美術作品を中心に展示しています。館内では、日本の近代洋画や版画、彫刻などの常設展に加え、国内外の多様なアートを紹介する企画展も開催されています。また、敷地内には庭園も整備されており、歴史とアートが融合した静かな環境の中で芸術鑑賞が楽しめます。観光名所の姫路城とともに訪れる人が多く、地元の文化スポットとしても親しまれています。,http://www.city.himeji.lg.jp/art/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3274.670081851994!2d134.6965097!3d34.8393867!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3554e00195b9a7cb%3A0xea1a0b1594f658b3!2z5aer6Lev5biC56uL576O6KGT6aSo!5e0!3m2!1sja!2sjp!4v1730868517860!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",姫路市,〒670-0012 兵庫県姫路市本町６８−２５,美術館,null,FALSE
38,兵庫県立歴史博物館,兵庫県立歴史博物館は、姫路にある博物館で、兵庫の歴史や文化を多彩な展示や資料で学べる施設です。,兵庫県立歴史博物館は、姫路市に位置し、兵庫県の歴史や文化を幅広く学べる博物館です。姫路城の近くにあり、県内の考古資料や民俗資料、古文書など、多彩な展示物が揃っています。常設展では、兵庫の先史時代から現代に至るまでの歴史を、実物資料や模型、映像を使ってわかりやすく紹介しています。また、体験型の展示も充実しており、歴史に触れながら楽しく学べる工夫がされています。特別展やワークショップも定期的に開催され、地元の人々や観光客に親しまれる文化スポットとなっています。,https://rekihaku.pref.hyogo.lg.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3274.5960046221994!2d134.69433147666953!3d34.8412487728702!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3554e004eb00f9e5%3A0x1b9a26078dcfc0da!2z5YW15bqr55yM56uL5q205Y-y5Y2a54mp6aSo!5e0!3m2!1sja!2sjp!4v1730868548763!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",姫路市,〒670-0012 兵庫県姫路市本町６８,博物館,null,FALSE
39,天保山大観覧車,天保山大観覧車は、大阪にある日本最大級の観覧車で、美しい夜景や大阪湾の絶景が楽しめる人気スポットです。,天保山大観覧車は、大阪市港区に位置する日本最大級の観覧車で、高さは112.5メートルを誇ります。海遊館や天保山マーケットプレースと隣接しており、観光地としても人気です。観覧車からは大阪湾をはじめ、神戸方面や関西国際空港、大阪市街地などが一望でき、昼は遠くまで見渡せる絶景、夜には美しい夜景が広がります。また、ライトアップが施され、季節ごとに異なるイルミネーションが楽しめるため、デートスポットとしても有名です。晴れた日には絶景、夜はロマンチックな雰囲気を味わえる観光名所です。,http://tempozan-kanransya.com/tempozan-kanransya.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3281.938004437175!2d135.42839097666365!3d34.65626857293531!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e88b5561e543%3A0xfe7be2a424a0c226!2z5aSp5L-d5bGx5aSn6Kaz6Kan6LuK!5e0!3m2!1sja!2sjp!4v1730868590248!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒552-0022 大阪府大阪市港区海岸通１丁目１−１０,建築,null,FALSE
40,海遊館,海遊館は、大阪にある世界最大級の水族館で、太平洋を再現した大水槽や多彩な海洋生物が楽しめます。,海遊館は、大阪市港区にある世界最大級の水族館で、太平洋をテーマにした迫力ある展示が魅力です。館内には、高さ9メートルを超える大水槽「太平洋」を中心に、ジンベエザメやマンタなど、多彩な海洋生物が悠々と泳ぐ姿を間近で観察できます。また、熱帯雨林や南極のエリアなど、世界の異なる海域を再現した展示が広がり、さまざまな生態系を学べる構成となっています。子どもから大人まで楽しめる体験型の展示も多く、海や自然環境について深く理解できる学びの場です。関西を代表する観光スポットとして、国内外から多くの来館者が訪れます。,https://www.kaiyukan.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3282.0073158341816!2d135.42638957666364!3d34.65451817293603!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e8f48c0da9cd%3A0x6f83c520ae082ccc!2z5rW36YGK6aSo!5e0!3m2!1sja!2sjp!4v1730868666890!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒552-0022 大阪府大阪市港区海岸通１丁目１−１０,水族館,null,FALSE
41,生駒山上遊園地,生駒山上遊園地は、生駒山の山頂にある遊園地で、家族向けのアトラクションや美しい夜景が楽しめます。,生駒山上遊園地は、奈良県と大阪府にまたがる生駒山の山頂に位置する遊園地で、家族連れやカップルに人気のスポットです。標高642メートルにあるため、関西一円を見渡せる絶景が楽しめ、特に夜景は美しく「日本夜景遺産」にも選ばれています。遊園地内には、観覧車やジェットコースター、メリーゴーランドなど、子どもから大人まで楽しめるアトラクションが揃い、レトロな雰囲気が魅力です。季節ごとにイルミネーションやイベントも開催され、関西の自然と共に遊べる貴重なスポットとして、多くの人々に親しまれています。,http://www.ikomasanjou.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3281.0289780905223!2d135.6791714!3d34.6792181!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600123d935127b33%3A0x7387f7b7a9805fe0!2z55Sf6aeS5bGx5LiK6YGK5ZyS5Zyw!5e0!3m2!1sja!2sjp!4v1730868832799!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",奈良県,〒630-0231 奈良県生駒市菜畑町２３１２−１,遊園地,null,FALSE
